,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9984123834094066,0.9984118003691964,0.9984123834094066,0.9983193478612158
XGBoost,0.9989680492161143,0.9989534530589457,0.9989680492161143,0.9989523492118959
Neural Network,0.99162532248462,0.9913419679531049,0.99162532248462,0.991227280700231
